Timestamp,1. How comfortable are you with your surroundings in school ?,2. How would you rate the quality of your relationships with your classmates?,3. Do you have any close friends at school?,"4. If 'YES', how did they affect in your academics?",5. What is the part of your student life that you are unsatisfied with the most?,6. Do you sometimes feel isolated in your college  environment?,7. How often do external problems affect your academics ?,8. Does your personal relationship (Love Life) affect your academic level  ?,9. Do you feel comfortable seeking help or advice from friends when facing academic challenges?,"10. Are you engaged in any external activities  (Associations, Clubs, organizations...) outside of academics? ","11. If 'YES',How often are you engaged in these social activities ? ",1. Does your academic study affect your mental well-being?,2. If 'YES' rate it: ,3. Do you feel motivated to wake up and go to college?,4. How stresseful  school is for you?,5. How would you rate the university environment ?,6. Do you experience any sleep disorders during exams and assesment due to the university environment ?,7. Is it tough for you to fulfill your ambitions ?,"8. If you could choose any of these words to describe your mental health, which would suit you? ",9. Do academic results affect your mental health ?,"1. Are you engaged in any physical activities ? (gym, sport activity ...)","2. If ""NO"", tell us why ",3. Do you often have time to have lunch during the break,4. Does it cause you any eat disorders,5. How many hours of sleep do you get on an average night at university ?,6. How would you describe your daily routine?,7. How do you rate your overall health ?,1. How do you rate your emotional resilience ?,2. Have you ever felt like you lack a sense of purpose in your studies ?,3. How confident do you feel in your ability to overcome challenges in your academic life?,4. Have you ever received training or support in developing emotional resilience skills?,"5. If 'YES', did it help ?",6. How often do you engage in activities that help you relax and unwind?,Are you?,15.Age ,Status ,Level of education,Field of study,Location,Governorates,Your university ,How well do you describe yourself academically ?,Share your opinon about the surveys 
10/20/2023 19:39:56,8,8,Yes,Positive/Good,"Social life, Exams",Sometimes,Rarely,Agree,Neutral,No,Monthly,Yes,4,Often,6,Good,sometimes,No,trying my best,Yes,No,other reasons,No,No,6-7 hours,Challenging,5,9,No,Neutral,Yes,Quiet helpful,Weekly,Female,18-21,Taken,Undergraduate (Bachelor),"Formal Sciences ( logic, mathematics, statistics, theoretical computer science, artificial intelligence, information theory, game theory.....)",Tunisia,Sousse,Public,7,
10/20/2023 19:46:11,5,7,No,NULL,"Social life, Teacher, Subjects",Sometimes,Rarely,Disagree,Neutral,"Yes, occasionally",Weekly,Yes,7,Sometimes,5,Good,sometimes,No,trying my best,Yes,Yes,NULL,No,Yes,6-7 hours,Challenging,4,6,Yes,Confident,No,NULL,Weekly,Female,18-21,Single,Undergraduate (Bachelor),"Formal Sciences ( logic, mathematics, statistics, theoretical computer science, artificial intelligence, information theory, game theory.....)",Tunisia,Sousse,Public,8,
10/20/2023 19:46:23,5,5,Yes,Normal,"Social life, Exams",Sometimes,Rarely,Disagree,Comfortable,"Yes, Too Much",Daily,No,NULL,Rarely,3,Good,sometimes,Yes,bored,No,No,other reasons,Yes,No,5-6 hours,Boring,5,7,Yes,Neutral,No,NULL,Weekly,Female,18-21,Single,Undergraduate (Bachelor),Business ,Tunisia,Sousse,Private,7,Loved all the questions nice keep up the good work 
10/20/2023 19:46:58,1,3,Yes,Normal,Schedule,Sometimes,Often,Disagree,Neutral,"Yes, Too Much",Weekly,Yes,7,Rarely,8,Stressful,sometimes,Yes,overwhelmed,Yes,No,Schedule,No,No,5-6 hours,Challenging,7,7,Yes,Confident,No,NULL,Rarely,Female,18-21,Taken,Undergraduate (Bachelor),Marketing ,Tunisia,NULL,Private,7,I like it
10/20/2023 19:47:55,9,9,No,NULL,Schedule,Sometimes,Always,Agree,Comfortable,"Yes, occasionally",Monthly,Yes,8,Always,5,Good,never,No,struggling,Yes,No,other reasons,Yes,No,6-7 hours,Boring,6,3,Yes,Confident,No,NULL,Never,Female,18-21,Taken,Undergraduate (Bachelor),"Business, management ",Tunisia,Monastir,Private,6,Long
10/20/2023 19:48:10,6,6,Yes,Normal,"Subjects, Exams",Rarely,Often,Agree,Comfortable,"Yes, Too Much",Daily,Yes,8,Sometimes,6,Good,occasionally,Yes,trying my best,Yes,No,Schedule,No,Yes,5-6 hours,Boring,6,4,Yes,Neutral,No,NULL,Rarely,Male,18-21,Single,Undergraduate (Bachelor),"Formal Sciences ( logic, mathematics, statistics, theoretical computer science, artificial intelligence, information theory, game theory.....)",Tunisia,Nabeul,Public,7,Fantastic 
10/20/2023 19:53:29,5,7,Yes,Normal,"Subjects, Schedule, Transportation plays a big role in student life",Rarely,Sometimes,Disagree,Neutral,"Yes, occasionally",Weekly,Yes,7,Sometimes,4,Toxic,sometimes,Yes,trying my best,No,No,Schedule,Yes,Yes,Less than 5 hours,Boring,4,7,Yes,Confident,No,NULL,Monthly,Female,18-21,Single,Undergraduate (Bachelor),Embedded systems ,Tunisia,Sousse,Public,6,"It's good, great job "
10/20/2023 19:53:59,5,8,Yes,Normal,Schedule,Sometimes,Sometimes,Agree,Neutral,"Yes, occasionally",Monthly,Yes,5,Sometimes,6,Good,sometimes,Yes,happy,Yes,No,other reasons,No,Yes,Less than 5 hours,Boring,5,4,No,Neutral,Yes,Quiet helpful,Weekly,Female,18-21,Taken,Pre-Engineering,"Professions and applied sciences (Library Science, Museum Studies, Military Science, Real Estate & Property Management, Family & Consumer Science...)",Tunisia,Sousse,Public,7,
10/20/2023 19:56:39,3,5,Yes,Normal,"Social life, Schedule, Exams",Sometimes,Sometimes,Agree,Neutral,No,Never,Yes,5,Sometimes,4,Good,sometimes,No,trying my best,Yes,No,Schedule,Yes,Yes,Less than 5 hours,Boring,6,5,No,Neutral,No,No,Monthly,Male,22-24,Single,Undergraduate (Bachelor),"Formal Sciences ( logic, mathematics, statistics, theoretical computer science, artificial intelligence, information theory, game theory.....)",Tunisia,Sousse,Public,6,
10/20/2023 19:58:35,7,8,Yes,Positive/Good,"Teacher, Schedule, Administration",Rarely,Sometimes,Disagree,Comfortable,"Yes, occasionally",Weekly,Yes,6,Sometimes,5,Good,sometimes,Yes,trying my best,No,Yes,NULL,Yes,No,7-9 hours,Challenging,5,7,No,Confident,No,NULL,Weekly,Female,18-21,Single,Undergraduate (Bachelor),"Social Sciences ( Business, law, languages, philosophy, religion, mythology....)",Tunisia,Sousse,Private,8,
10/20/2023 20:00:02,1,2,Yes,Normal,"Social life, Subjects",Often,Rarely,Disagree,Neutral,No,Never,Yes,8,Rarely,10,Toxic,sometimes,Yes,struggling,Yes,No,Schedule,Yes,No,5-6 hours,Challenging,7,9,Yes,Neutral,No,NULL,Rarely,Female,18-21,Single,Undergraduate (Bachelor),"Formal Sciences ( logic, mathematics, statistics, theoretical computer science, artificial intelligence, information theory, game theory.....)",Tunisia,Sousse,Public,7,
10/20/2023 20:01:48,5,3,No,Negative/Badly,"Subjects, Schedule, Administration",Rarely,Sometimes,Disagree,Neutral,No,Never,Yes,8,Rarely,6,Stressful,occasionally,No,bored,Yes,No,I have other engagements,No,Yes,5-6 hours,Boring,3,3,No,Neutral,No,No,Rarely,Male,22-24,Single,Undergraduate (Bachelor),"Social Sciences ( Business, law, languages, philosophy, religion, mythology....)",Tunisia,Sousse,Public,1,
10/20/2023 20:01:49,9,8,Yes,Positive/Good,Exams,Sometimes,Rarely,Disagree,Comfortable,"Yes, Too Much",Daily,Yes,5,Often,4,Motivating,never,No,happy,Yes,Yes,NULL,Yes,No,6-7 hours,Intresting,7,5,No,Confident,Yes,Quiet helpful,Daily,Male,18-21,Single,Undergraduate (Bachelor),"Formal Sciences ( logic, mathematics, statistics, theoretical computer science, artificial intelligence, information theory, game theory.....)",Tunisia,Sousse,Private,9,
10/20/2023 20:03:36,6,4,Yes,Positive/Good,Exams,Often,Rarely,Disagree,Comfortable,"Yes, Too Much",Daily,Yes,8,Often,7,Good,not much,No,excited,Yes,Yes,NULL,Yes,No,6-7 hours,Challenging,9,7,Yes,Confident,No,NULL,Weekly,Female,18-21,Single,Pre-Engineering,"Formal Sciences ( logic, mathematics, statistics, theoretical computer science, artificial intelligence, information theory, game theory.....)",Tunisia,Sousse,Public,7,Very Interesting! It made me consider my whole academic life
10/20/2023 20:05:42,5,3,Yes,Positive/Good,Schedule,Rarely,Often,Agree,Uncomfortable,"Yes, Too Much",Weekly,Yes,9,Sometimes,5,Stressful,not much,Yes,trying my best,Yes,Yes,NULL,No,Yes,7-9 hours,Challenging,7,7,Yes,Neutral,No,NULL,Rarely,Female,18-21,Single,Pre-Engineering,"Formal Sciences ( logic, mathematics, statistics, theoretical computer science, artificial intelligence, information theory, game theory.....)",Tunisia,Sousse,Public,5,
10/20/2023 20:06:04,6,9,Yes,Normal,"Teacher, Schedule, Administration",Rarely,Sometimes,Disagree,Neutral,"Yes, Too Much",Daily,Yes,8,Often,6,Stressful,sometimes,No,trying my best,Yes,No,I have other engagements,Yes,No,5-6 hours,Boring,5,5,Yes,Neutral,No,NULL,Rarely,Female,18-21,Single,Master's,"Natural Sciences (Medical,Biology, Chemistry, Physics, Earth Sciences....)",Tunisia,Tunis,Public,6,
10/20/2023 20:06:06,9,8,No,NULL,Schedule,Never,Often,Agree,Comfortable,"Yes, Too Much",Weekly,No,NULL,Often,1,Good,occasionally,Yes,trying my best,Yes,No,Schedule,Yes,Yes,6-7 hours,Challenging,7,7,Yes,Confident,Yes,Quiet helpful,Monthly,Female,28,Single,Master's,Urban planning ,Tunisia,Ariana,Public,8,
10/20/2023 20:07:12,6,5,Yes,Normal,"Social life, Subjects, Schedule",Sometimes,Rarely,Disagree,Neutral,"Yes, occasionally",Daily,Yes,6,Often,5,Stressful,sometimes,No,trying my best,Yes,Yes,NULL,No,No,7-9 hours,Intresting,6,7,Yes,Neutral,No,NULL,Daily,Male,18-21,Single,PhD,"Formal Sciences ( logic, mathematics, statistics, theoretical computer science, artificial intelligence, information theory, game theory.....)",Tunisia,Sousse,Public,7,
10/20/2023 20:07:17,7,6,No,NULL,"Social life, Schedule, Exams",Sometimes,Sometimes,Disagree,Neutral,"Yes, occasionally",Weekly,Yes,6,Sometimes,5,Good,not much,Yes,trying my best,Yes,No,other reasons,Yes,Yes,Less than 5 hours,Challenging,4,3,Yes,Neutral,No,NULL,Never,Male,18-21,Single,Pre-Engineering,"Formal Sciences ( logic, mathematics, statistics, theoretical computer science, artificial intelligence, information theory, game theory.....)",Tunisia,Sousse,Public,6,
10/20/2023 20:12:54,5,8,Yes,Positive/Good,"Social life, Subjects, Exams",Sometimes,Often,Agree,Neutral,"Yes, Too Much",Daily,No,1,Sometimes,7,Stressful,sometimes,Yes,trying my best,No,No,I have other engagements,Yes,Yes,5-6 hours,Boring,6,8,Yes,Confident,No,NULL,Rarely,Male,28,Single,Master's,"Formal Sciences ( logic, mathematics, statistics, theoretical computer science, artificial intelligence, information theory, game theory.....)",Tunisia,Sousse,Private,8,
10/20/2023 20:14:01,10,10,Yes,Positive/Good,"Social life, ",Never,Rarely,Disagree,Comfortable,"Yes, Too Much",Never,Yes,10,Always,1,Motivating,never,Yes,happy,Yes,Yes,NULL,Yes,No,6-7 hours,Intresting,10,10,No,Confident,Yes,Soo helpful,Daily,Female,18-21,Single,Undergraduate (Bachelor),Engenierie du systeme informatique,Tunisia,Kairouan,Public,10,Good
10/20/2023 20:14:45,8,8,Yes,Positive/Good,"Subjects, Schedule",Rarely,Rarely,Disagree,Neutral,"Yes, Too Much",Daily,Yes,5,Never,7,Stressful,sometimes,No,trying my best,No,No,other reasons,Yes,No,7-9 hours,Boring,8,8,Yes,Neutral,No,NULL,Weekly,Female,18-21,Taken,Undergraduate (Bachelor),"Formal Sciences ( logic, mathematics, statistics, theoretical computer science, artificial intelligence, information theory, game theory.....)",Tunisia,Sousse,Public,7,
10/20/2023 20:16:49,8,6,Yes,Normal,Teacher,Rarely,Sometimes,Disagree,Neutral,"Yes, occasionally",Weekly,No,NULL,Sometimes,2,Good,always,No,bored,No,No,I have other engagements,No,Yes,5-6 hours,Intresting,7,1,No,Confident,Yes,Not realy,Weekly,Male,18-21,FWB,Undergraduate (Bachelor),"Formal Sciences ( logic, mathematics, statistics, theoretical computer science, artificial intelligence, information theory, game theory.....)",Tunisia,Sousse,Public,9,
10/20/2023 20:16:51,7,5,No,NULL,"Social life, Administration",Always,Never,Disagree,Neutral,No,Never,Yes,5,Often,6,Good,sometimes,Yes,trying my best,No,Yes,NULL,Yes,Yes,6-7 hours,Intresting,6,8,Yes,Confident,No,NULL,Daily,Male,18-21,Single,Undergraduate (Bachelor),"Formal Sciences ( logic, mathematics, statistics, theoretical computer science, artificial intelligence, information theory, game theory.....)",Tunisia,Sousse,Public,8,
10/20/2023 20:17:11,6,7,Yes,Normal,"Social life, Teacher, Schedule",Often,Often,Disagree,Uncomfortable,No,Never,Yes,NULL,Rarely,7,Stressful,occasionally,Yes,bored,Yes,No,Schedule,No,Yes,5-6 hours,Boring,3,5,Yes,Unconfident,No,NULL,Never,Female,18-21,Single,Pre-Engineering,"Formal Sciences ( logic, mathematics, statistics, theoretical computer science, artificial intelligence, information theory, game theory.....)",Tunisia,Sousse,Public,6,
10/20/2023 20:18:34,4,3,Yes,Positive/Good,"Teacher, Administration",Sometimes,Often,Disagree,Comfortable,"Yes, occasionally",Monthly,Yes,9,Never,9,Toxic,always,Yes,struggling,Yes,No,other reasons,No,No,Less than 5 hours,Boring,3,4,Yes,Neutral,No,NULL,Rarely,Female,22-24,Single,Engineering,"Formal Sciences ( logic, mathematics, statistics, theoretical computer science, artificial intelligence, information theory, game theory.....)",Tunisia,Monastir,Private,7,
10/20/2023 20:21:00,7,7,Yes,Normal,"Teacher, Schedule, Administration",Sometimes,Often,Agree,Neutral,"Yes, occasionally",Monthly,Yes,7,Never,8,Stressful,sometimes,Yes,bored,Yes,No,Schedule,No,Yes,6-7 hours,Boring,7,10,Yes,Confident,Yes,Quiet helpful,Monthly,Female,18-21,Taken,Engineering,"Formal Sciences ( logic, mathematics, statistics, theoretical computer science, artificial intelligence, information theory, game theory.....)",Tunisia,Sousse,Public,7,
10/20/2023 20:26:47,5,5,No,NULL,"Social life, Subjects, Exams",Often,Often,Disagree,Neutral,"Yes, occasionally",Weekly,Yes,7,Rarely,8,Stressful,always,Yes,struggling,Yes,No,other reasons,No,Yes,Less than 5 hours,Boring,2,4,Yes,Unconfident,No,NULL,Never,Female,18-21,Taken,Undergraduate (Bachelor),"Natural Sciences (Medical,Biology, Chemistry, Physics, Earth Sciences....)",Tunisia,Sousse,Public,6,
10/20/2023 20:28:17,8,7,No,NULL,All ,Rarely,Rarely,Agree,Comfortable,"Yes, Too Much",Daily,Yes,5,Often,3,Stressful,not much,Yes,trying my best,Yes,Yes,NULL,Yes,No,5-6 hours,Challenging,6,6,Yes,Confident,No,NULL,Monthly,Male,22-24,Half singel half taken,Pre-Engineering,"Natural Sciences (Medical,Biology, Chemistry, Physics, Earth Sciences....)",Tunisia,Sousse,Public,8,
10/20/2023 20:28:40,7,7,Yes,Positive/Good,"Teacher, Subjects",Sometimes,Rarely,Disagree,Comfortable,"Yes, Too Much",Weekly,No,NULL,Rarely,5,Stressful,not much,No,trying my best,No,No,other reasons,Yes,No,Less than 5 hours,Challenging,5,7,Yes,Neutral,No,NULL,Rarely,Male,22-24,Single,Undergraduate (Bachelor),"Social Sciences ( Business, law, languages, philosophy, religion, mythology....)",Tunisia,Sousse,Private,7,
10/20/2023 20:28:46,8,8,Yes,Positive/Good,Exams,Never,Rarely,Disagree,Comfortable,"Yes, Too Much",Daily,Yes,7,Rarely,6,Stressful,sometimes,No,happy,Yes,Yes,NULL,No,Yes,6-7 hours,Boring,8,7,No,Confident,Yes,Quiet helpful,Rarely,Male,18-21,Single,Pre-Engineering,Management ,Tunisia,Sousse,Public,7,It is good
10/20/2023 20:28:48,10,9,Yes,Positive/Good,Subjects,Never,Sometimes,Disagree,Uncomfortable,"Yes, occasionally",Monthly,Yes,2,Never,10,Good,occasionally,Yes,overwhelmed,No,Yes,Schedule,Yes,No,7-9 hours,Challenging,1,4,Yes,Neutral,Yes,Quiet helpful,Monthly,Female,18-21,Taken,Pre-Engineering,"Professions and applied sciences (Library Science, Museum Studies, Military Science, Real Estate & Property Management, Family & Consumer Science...)",Australia,Zaghouan,Private,1,
10/20/2023 20:29:54,5,4,Yes,Positive/Good,"Teacher, Exams",Sometimes,Sometimes,Agree,Uncomfortable,"Yes, Too Much",Daily,Yes,5,Rarely,5,Stressful,sometimes,Yes,bored,Yes,No,I have other engagements,Yes,Yes,5-6 hours,Boring,4,5,Yes,Confident,No,NULL,Monthly,Female,22-24,Single,Engineering,Electronics ,Tunisia,Monastir,Public,5,It was good and easy to follow 
10/20/2023 20:33:34,9,10,Yes,Positive/Good,Teacher,Never,Sometimes,Disagree,Comfortable,No,Never,No,NULL,Rarely,3,Good,not much,No,happy,Yes,No,other reasons,Yes,No,7-9 hours,Intresting,7,9,No,Confident,No,NULL,Never,Female,18-21,Single,Undergraduate (Bachelor),"Formal Sciences ( logic, mathematics, statistics, theoretical computer science, artificial intelligence, information theory, game theory.....)",Tunisia,Sousse,Public,7,
10/20/2023 20:35:12,5,5,Yes,Positive/Good,"Social life, Subjects, Exams",Always,Rarely,Disagree,Neutral,No,Never,Yes,8,Never,7,Stressful,sometimes,Yes,bored,No,No,other reasons,No,No,7-9 hours,Boring,7,6,Yes,Confident,No,NULL,Rarely,Female,18-21,Single,Undergraduate (Bachelor),"Formal Sciences ( logic, mathematics, statistics, theoretical computer science, artificial intelligence, information theory, game theory.....)",Tunisia,Sousse,Public,6,
10/20/2023 20:38:15,3,5,Yes,Normal,"Subjects, Schedule, Exams",Sometimes,Rarely,Disagree,Neutral,"Yes, occasionally",Monthly,Yes,5,Sometimes,8,Stressful,always,Yes,bored,Yes,No,Schedule,Yes,Yes,6-7 hours,Challenging,2,4,Yes,Neutral,Yes,Not realy,Rarely,Female,18-21,Single,Undergraduate (Bachelor),"Formal Sciences ( logic, mathematics, statistics, theoretical computer science, artificial intelligence, information theory, game theory.....)",Tunisia,Sousse,Public,5,
10/20/2023 20:42:45,5,6,Yes,Positive/Good,"Social life, Subjects, Schedule",Sometimes,Sometimes,Disagree,Uncomfortable,"Yes, occasionally",Rarely,No,NULL,Rarely,3,Good,occasionally,Yes,trying my best,Yes,Yes,NULL,No,Yes,6-7 hours,Boring,6,7,Yes,Neutral,No,NULL,Never,Male,18-21,Single,Undergraduate (Bachelor),"Formal Sciences ( logic, mathematics, statistics, theoretical computer science, artificial intelligence, information theory, game theory.....)",Tunisia,Sousse,Public,7,
10/20/2023 20:42:57,8,7,No,NULL,"Teacher, Subjects, Exams",Rarely,Never,Disagree,Comfortable,No,Never,Yes,8,Often,7,Stressful,never,Yes,happy,Yes,Yes,NULL,Yes,No,5-6 hours,Challenging,7,10,No,Confident,Yes,Soo helpful,Weekly,Male,18-21,Single,Pre-Engineering,Prepa,Tunisia,Sousse,Public,7,
10/20/2023 20:43:01,10,10,Yes,Positive/Good,"Subjects, Schedule, Administration",Never,Sometimes,Disagree,Neutral,No,Rarely,Yes,4,Always,2,Good,occasionally,No,trying my best,No,Yes,NULL,Yes,No,7-9 hours,Challenging,7,8,Yes,Confident,Yes,Soo helpful,Rarely,Male,22-24,Single,Undergraduate (Bachelor),"Social Sciences ( Business, law, languages, philosophy, religion, mythology....)",Tunisia,Monastir,Private,7,Good survey it helps to evaluate your mental health ability during the academic life 
10/20/2023 20:47:07,7,9,No,NULL,"Social life, Schedule",Sometimes,Sometimes,Disagree,Neutral,"Yes, occasionally",Rarely,Yes,5,Sometimes,4,Good,sometimes,Yes,bored,No,Yes,NULL,No,Yes,6-7 hours,Boring,4,6,Yes,Neutral,No,NULL,Never,Female,18-21,Single,Pre-Engineering,"Formal Sciences ( logic, mathematics, statistics, theoretical computer science, artificial intelligence, information theory, game theory.....)",Tunisia,Monastir,Public,6,
10/20/2023 20:53:32,7,8,No,NULL,Schedule,Sometimes,Sometimes,Disagree,Comfortable,"Yes, occasionally",Monthly,No,NULL,Sometimes,8,Good,not much,Yes,trying my best,Yes,No,Schedule,No,Yes,6-7 hours,Challenging,6,6,No,Confident,Yes,Quiet helpful,Rarely,Female,18-21,Single,Undergraduate (Bachelor),Logistique ,Tunisia,Sousse,Public,6,
10/20/2023 20:54:44,3,7,Yes,Normal,Social life,Often,Always,Agree,Neutral,No,Never,Yes,7,Often,7,Toxic,not much,Yes,bored,Yes,No,Schedule,No,Yes,5-6 hours,Boring,4,3,Yes,Neutral,No,No,Never,Male,18-21,Taken,Pre-Engineering,Licence en génie Mécanique ,Tunisia,Gabès,Public,3,Good
10/20/2023 20:55:23,7,4,Yes,Positive/Good,"Teacher, Subjects, Schedule",Sometimes,Always,Agree,Neutral,"Yes, Too Much",Daily,No,NULL,Rarely,7,Stressful,sometimes,No,excited,Yes,No,I have other engagements,No,No,5-6 hours,Challenging,6,6,No,Neutral,Yes,Quiet helpful,Rarely,Female,18-21,Single,Undergraduate (Bachelor),"Formal Sciences ( logic, mathematics, statistics, theoretical computer science, artificial intelligence, information theory, game theory.....)",Tunisia,Sousse,Public,4,Translate or explain more the questions
10/20/2023 20:55:26,1,3,No,NULL,Social life,Always,Never,Disagree,Neutral,No,Never,No,NULL,Sometimes,5,Toxic,not much,No,trying my best,Yes,No,other reasons,Yes,No,5-6 hours,Boring,5,9,Yes,Confident,No,NULL,Rarely,Female,18-21,Single,Undergraduate (Bachelor),"Social Sciences ( Business, law, languages, philosophy, religion, mythology....)",Tunisia,Sousse,Public,7,
10/20/2023 21:01:27,4,5,No,NULL,Social life,Rarely,Rarely,Agree,Neutral,No,Never,Yes,6,Always,2,Motivating,not much,Yes,happy,No,No,Schedule,Yes,Yes,6-7 hours,Challenging,6,6,No,Confident,Yes,Quiet helpful,Daily,Male,22-24,Single,Engineering,"Natural Sciences (Medical,Biology, Chemistry, Physics, Earth Sciences....)",Tunisia,Tunis,Public,6,
10/20/2023 21:01:38,7,9,Yes,Positive/Good,"Subjects, Schedule, Administration",Rarely,Sometimes,Agree,Comfortable,"Yes, Too Much",Daily,No,NULL,Sometimes,3,Good,sometimes,No,happy,No,No,other reasons,Yes,Yes,6-7 hours,Challenging,8,9,Yes,Confident,No,NULL,Rarely,Male,22-24,Single,Engineering,"Natural Sciences (Medical,Biology, Chemistry, Physics, Earth Sciences....)",Tunisia,Tunis,Public,6,
10/20/2023 21:01:51,7,6,Yes,Positive/Good,"Social life, Subjects",Sometimes,Rarely,Disagree,Comfortable,No,Never,Yes,6,Never,8,Good,sometimes,Yes,trying my best,No,No,other reasons,Yes,No,6-7 hours,Challenging,7,6,Yes,Neutral,No,No,Rarely,Female,18-21,Single,Pre-Engineering,"Humanities ( history, philosophy, religion....)",Tunisia,Sousse,Public,7,
10/20/2023 21:02:06,4,7,No,NULL,Social life,Sometimes,Always,Disagree,Neutral,No,Rarely,Yes,6,Sometimes,5,Good,sometimes,Yes,bored,Yes,Yes,other reasons,Yes,Yes,6-7 hours,Boring,9,6,Yes,Neutral,Yes,Quiet helpful,Monthly,Female,18-21,Married,Engineering,"Natural Sciences (Medical,Biology, Chemistry, Physics, Earth Sciences....)",Tunisia,Sousse,Public,6,
10/20/2023 21:02:21,6,4,No,Normal,"Social life, Administration",Sometimes,Rarely,Disagree,Neutral,No,Never,No,1,Often,2,Good,always,No,trying my best,No,No,other reasons,Yes,No,5-6 hours,Challenging,6,7,Yes,Neutral,No,Quiet helpful,Rarely,Male,18-21,Single,Master's,Interior design,Tunisia,Sousse,Public,5,Good
10/20/2023 21:03:19,4,5,No,NULL,"Social life, Schedule, Administration",Always,Always,Agree,Uncomfortable,"Yes, Too Much",Daily,Yes,8,Never,9,Stressful,always,Yes,overwhelmed,Yes,No,Schedule,No,Yes,Less than 5 hours,Boring,1,3,Yes,Unconfident,No,NULL,Never,Female,18-21,Single,Undergraduate (Bachelor),"Formal Sciences ( logic, mathematics, statistics, theoretical computer science, artificial intelligence, information theory, game theory.....)",Tunisia,Sousse,Public,6,
10/20/2023 21:05:50,6,7,No,NULL,Social life,Often,Rarely,Agree,Neutral,No,Weekly,Yes,4,Rarely,4,Good,sometimes,Yes,overwhelmed,Yes,No,Schedule,No,Yes,5-6 hours,Challenging,4,6,No,Neutral,No,NULL,Weekly,Female,18-21,Single,Pre-Engineering,Computer science ,Tunisia,Sousse,Public,6,
10/20/2023 21:07:58,10,7,No,NULL,Social life,Sometimes,Sometimes,Agree,Neutral,No,Rarely,No,NULL,Sometimes,4,Stressful,sometimes,No,happy,Yes,Yes,NULL,No,Yes,6-7 hours,Challenging,5,5,No,Neutral,No,NULL,Rarely,Male,18-21,Single,Undergraduate (Bachelor),"Formal Sciences ( logic, mathematics, statistics, theoretical computer science, artificial intelligence, information theory, game theory.....)",Tunisia,Gabès,Public,5,
10/20/2023 21:08:28,4,2,Yes,Normal,"Social life, Teacher, Exams",Sometimes,Sometimes,Disagree,Uncomfortable,No,Never,Yes,9,Never,9,Stressful,always,Yes,bored,Yes,No,other reasons,No,Yes,Less than 5 hours,Boring,7,3,Yes,Unconfident,No,NULL,Never,Female,22-24,Single,Undergraduate (Bachelor),"Formal Sciences ( logic, mathematics, statistics, theoretical computer science, artificial intelligence, information theory, game theory.....)",Tunisia,Monastir,Public,3,
10/20/2023 21:09:30,6,8,No,NULL,"Social life, Teacher, Administration",Rarely,Often,Agree,Neutral,"Yes, occasionally",Weekly,Yes,8,Rarely,5,Good,sometimes,Yes,trying my best,Yes,No,other reasons,Yes,No,6-7 hours,Challenging,7,6,No,Confident,No,NULL,Rarely,Female,18-21,Single,Undergraduate (Bachelor),"Formal Sciences ( logic, mathematics, statistics, theoretical computer science, artificial intelligence, information theory, game theory.....)",Tunisia,Gabès,Public,10,Deep questions thank you!
10/20/2023 21:11:32,8,8,Yes,Positive/Good,Schedule,Rarely,Sometimes,Disagree,Neutral,"Yes, occasionally",Weekly,Yes,8,Rarely,5,Good,not much,Yes,overwhelmed,No,No,Schedule,No,Yes,5-6 hours,Challenging,7,7,No,Confident,No,NULL,Weekly,Female,18-21,Single,Undergraduate (Bachelor),"Formal Sciences ( logic, mathematics, statistics, theoretical computer science, artificial intelligence, information theory, game theory.....)",Tunisia,Sousse,Public,7,"I think these questions were on point and I found many reasons for the discomfort I've been feeling lately especially the schedule,hope something will change with this survey "
10/20/2023 21:11:45,6,2,Yes,Positive/Good,Schedule,Sometimes,Sometimes,Agree,Uncomfortable,"Yes, occasionally",Weekly,Yes,4,Often,5,Good,sometimes,Yes,bored,Yes,Yes,NULL,No,No,Less than 5 hours,Boring,3,1,Yes,Confident,No,NULL,Weekly,Male,22-24,Single,Pre-Engineering,Development des systèmes d'information ,Tunisia,Sousse,Public,7,
10/20/2023 21:12:06,6,5,Yes,Normal,"Subjects, Exams, Administration",Sometimes,Sometimes,Agree,Neutral,No,Never,Yes,6,Sometimes,4,Stressful,never,No,trying my best,Yes,Yes,NULL,No,Yes,5-6 hours,Challenging,7,7,Yes,Confident,No,NULL,Rarely,Female,18-21,Single,Undergraduate (Bachelor),Électronique : système embarqué ,Tunisia,Sousse,Public,8,
10/20/2023 21:13:32,2,3,No,NULL,Exams,Always,Always,Agree,Uncomfortable,No,Never,Yes,3,Never,10,Toxic,not much,Yes,bored,Yes,No,other reasons,No,No,5-6 hours,Boring,1,2,Yes,Unconfident,No,NULL,Never,Male,18-21,Single,Undergraduate (Bachelor),"Formal Sciences ( logic, mathematics, statistics, theoretical computer science, artificial intelligence, information theory, game theory.....)",Tunisia,Ben Arous,Public,2,Idfc
10/20/2023 21:14:05,7,4,Yes,Normal,"Teacher, Subjects, Exams",Sometimes,Sometimes,Disagree,Uncomfortable,No,Never,Yes,6,Sometimes,8,Stressful,sometimes,Yes,struggling,Yes,No,Schedule,Yes,No,Less than 5 hours,Challenging,6,7,Yes,Neutral,No,No,Never,Male,18-21,Single,Pre-Engineering,"Formal Sciences ( logic, mathematics, statistics, theoretical computer science, artificial intelligence, information theory, game theory.....)",Tunisia,Sousse,Public,5,meh
