Timestamp,1. How comfortable are you with your surroundings in school ?,2. How would you rate the quality of your relationships with your classmates?,3. Do you have any close friends at school?,"4. If 'YES', how did they affect in your academics?",5. What is the part of your student life that you are unsatisfied with the most?,6. Do you sometimes feel isolated in your college  environment?,7. How often do external problems affect your academics ?,8. Does your personal relationship (Love Life) affect your academic level  ?,9. Do you feel comfortable seeking help or advice from friends when facing academic challenges?,"10. Are you engaged in any external activities  (Associations, Clubs, organizations...) outside of academics? ","11. If 'YES',How often are you engaged in these social activities ? ",1. Does your academic study affect your mental well-being?,2. If 'YES' rate it: ,3. Do you feel motivated to wake up and go to college?,4. How stresseful  school is for you?,5. How would you rate the university environment ?,6. Do you experience any sleep disorders during exams and assesment due to the university environment ?,7. Is it tough for you to fulfill your ambitions ?,"8. If you could choose any of these words to describe your mental health, which would suit you? ",9. Do academic results affect your mental health ?,"1. Are you engaged in any physical activities ? (gym, sport activity ...)","2. If ""NO"", tell us why ",3. Do you often have time to have lunch during the break,4. Does it cause you any eat disorders,5. How many hours of sleep do you get on an average night at university ?,6. How would you describe your daily routine?,7. How do you rate your overall health ?,1. How do you rate your emotional resilience ?,2. Have you ever felt like you lack a sense of purpose in your studies ?,3. How confident do you feel in your ability to overcome challenges in your academic life?,4. Have you ever received training or support in developing emotional resilience skills?,"5. If 'YES', did it help ?",6. How often do you engage in activities that help you relax and unwind?,Are you?,15.Age ,Status ,Level of education,Field of study,Location,Governorates,Your university ,How well do you describe yourself academically ?,Share your opinon about the surveys 
10/24/2023 17:05:52,3,5,Yes,Negative/Badly,"Teacher, Exams",Sometimes,Often,Disagree,Uncomfortable,"Yes, occasionally",Rarely,Yes,9,Often,8,Toxic,not much,No,bored,Yes,No,other reasons,Yes,No,5-6 hours,Boring,5,4,Yes,Neutral,No,NULL,Rarely,Female,18-21,Single,Undergraduate (Bachelor),"Formal Sciences ( logic, mathematics, statistics, theoretical computer science, artificial intelligence, information theory, game theory.....)",Tunisia,Ben Arous,Public,7,
10/24/2023 17:18:19,7,7,Yes,Positive/Good,"Social life, Administration",Rarely,Sometimes,Agree,Neutral,"Yes, occasionally",Rarely,Yes,7,Rarely,9,Stressful,occasionally,Yes,trying my best,Yes,No,Schedule,Yes,No,5-6 hours,Boring,5,6,Yes,Neutral,No,NULL,Rarely,Female,18-21,Taken,Undergraduate (Bachelor),"Formal Sciences ( logic, mathematics, statistics, theoretical computer science, artificial intelligence, information theory, game theory.....)",Tunisia,Nabeul,Public,6,
10/24/2023 17:33:19,7,6,Yes,Positive/Good,Teacher,Rarely,Sometimes,Agree,Neutral,"Yes, occasionally",Weekly,Yes,6,Sometimes,5,Good,not much,Yes,trying my best,Yes,No,other reasons,Yes,No,6-7 hours,Intresting,6,6,Yes,Confident,No,NULL,Weekly,Female,18-21,Single,Undergraduate (Bachelor),"Formal Sciences ( logic, mathematics, statistics, theoretical computer science, artificial intelligence, information theory, game theory.....)",Tunisia,Nabeul,Public,5,
10/24/2023 17:59:14,7,5,Yes,Normal,"Exams, Administration",Sometimes,Rarely,Disagree,Neutral,No,NULL,Yes,4,Often,4,Stressful,sometimes,No,bored,Yes,No,other reasons,Yes,No,6-7 hours,Boring,7,5,No,Neutral,Yes,Quiet helpful,Never,Male,18-21,Single,Undergraduate (Bachelor),"Formal Sciences ( logic, mathematics, statistics, theoretical computer science, artificial intelligence, information theory, game theory.....)",Tunisia,Ben Arous,Public,6,quite interesting way to ask question without being intrusive! 
10/24/2023 18:24:47,2,2,No,Negative/Badly,"Social life, Subjects, Administration",Always,Often,Disagree,Uncomfortable,No,Daily,Yes,2,Never,8,Toxic,always,No,bored,Yes,Yes,other reasons,No,Yes,Less than 5 hours,Boring,3,2,No,Unconfident,No,No,Never,Male,22-24,Divorced,Master's,Electric energy renouvelable ,Tunisia,Nabeul,Public,2,"""It is boring also like my life like all tunisien people life yes it's the reality "" l3ou9 "
10/24/2023 18:59:14,2,1,No,NULL,"Social life, Administration",Often,Rarely,Disagree,Neutral,"Yes, occasionally",Rarely,Yes,7,Sometimes,5,Stressful,occasionally,Yes,overwhelmed,Yes,No,other reasons,Yes,No,6-7 hours,Challenging,7,8,Yes,Neutral,Yes,Quiet helpful,Daily,Male,18-21,Single,Undergraduate (Bachelor),"Formal Sciences ( logic, mathematics, statistics, theoretical computer science, artificial intelligence, information theory, game theory.....)",Tunisia,Ben Arous,Public,7,
10/24/2023 19:27:02,7,6,Yes,Normal,"Subjects, Schedule, Exams",Sometimes,Rarely,Disagree,Uncomfortable,"Yes, occasionally",Rarely,Yes,7,Often,8,Stressful,always,Yes,overwhelmed,Yes,Yes,NULL,Yes,No,5-6 hours,Challenging,7,6,Yes,Neutral,No,NULL,Weekly,Female,18-21,Single,Undergraduate (Bachelor),"Formal Sciences ( logic, mathematics, statistics, theoretical computer science, artificial intelligence, information theory, game theory.....)",Tunisia,Tunis,Public,8,
10/24/2023 19:32:46,5,6,No,NULL,"Teacher, Subjects, Schedule",Sometimes,Sometimes,Disagree,Uncomfortable,No,NULL,Yes,5,Sometimes,8,Toxic,sometimes,Yes,overwhelmed,Yes,No,Schedule,Yes,No,5-6 hours,Boring,5,10,Yes,Neutral,No,NULL,Weekly,Male,18-21,Single,Pre-Engineering,"Formal Sciences ( logic, mathematics, statistics, theoretical computer science, artificial intelligence, information theory, game theory.....)",Tunisia,Tunis,Public,6,good 
10/24/2023 19:39:52,5,5,Yes,Normal,"Schedule, Teachers' methodology ",Often,Sometimes,Disagree,Neutral,"Yes, Too Much",Daily,Yes,7,Sometimes,9,Toxic,occasionally,Yes,overwhelmed,Yes,No,Schedule,No,No,5-6 hours,Challenging,9,6,No,Confident,No,NULL,Monthly,Female,28,Divorced,Master's,"Humanities ( history, philosophy, religion....)",Tunisia,Sfax,Public,8,
10/24/2023 19:43:33,8,8,Yes,Normal,"Social life, Teacher, Subjects",Sometimes,Rarely,Disagree,Neutral,No,NULL,Yes,7,Sometimes,5,Stressful,not much,Yes,trying my best,Yes,No,Schedule,Yes,No,5-6 hours,Boring,5,5,Yes,Unconfident,Yes,Quiet helpful,Never,Female,18-21,Single,Pre-Engineering,"Math,physics,chimistry,",Tunisia,Monastir,Public,6,
10/24/2023 19:51:13,7,8,Yes,Positive/Good,"Teacher, Schedule, Administration",Rarely,Often,Agree,Comfortable,No,NULL,Yes,6,Sometimes,6,Stressful,sometimes,No,trying my best,Yes,Yes,NULL,Yes,No,5-6 hours,Challenging,7,10,No,Confident,Yes,Quiet helpful,Daily,Female,18-21,Single,Undergraduate (Bachelor),"Social Sciences ( Business, law, languages, philosophy, religion, mythology, psychology, ....)",Tunisia,Sousse,Public,6,
10/24/2023 19:58:44,6,7,Yes,Normal,Administration,Sometimes,Rarely,Disagree,Comfortable,No,NULL,Yes,7,Rarely,3,Good,not much,Yes,struggling,No,Yes,NULL,Yes,No,7-9 hours,Boring,7,5,Yes,Confident,No,NULL,Daily,Female,18-21,Single,Undergraduate (Bachelor),"Formal Sciences ( logic, mathematics, statistics, theoretical computer science, artificial intelligence, information theory, game theory.....)",Tunisia,Tunis,Public,5,
10/24/2023 20:05:17,7,5,Yes,Normal,"Schedule, Exams",Sometimes,Often,Agree,Neutral,No,NULL,Yes,6,Rarely,8,Stressful,occasionally,Yes,struggling,Yes,No,I have other engagements,Yes,Yes,Less than 5 hours,Boring,5,5,Yes,Neutral,No,NULL,Monthly,Female,24-28,Taken,Master's,"Social Sciences ( Business, law, languages, philosophy, religion, mythology, psychology, ....)",Tunisia,Gabès,Public,5,
10/24/2023 20:05:23,5,6,No,NULL,"Social life, Subjects, Exams",Often,Often,Disagree,Comfortable,No,NULL,Yes,8,Rarely,10,Stressful,sometimes,No,struggling,Yes,No,other reasons,No,No,5-6 hours,Boring,4,5,Yes,Confident,Yes,Quiet helpful,Rarely,Female,18-21,Single,Undergraduate (Bachelor),"Humanities ( history, philosophy, religion....)",Tunisia,NULL,Public,6,
10/24/2023 20:09:38,3,7,No,NULL,"Social life, Teacher",Sometimes,Never,Disagree,Neutral,"Yes, Too Much",Daily,Yes,6,Never,9,Stressful,sometimes,Yes,trying my best,Yes,No,I have other engagements,No,No,6-7 hours,Boring,6,4,Yes,Neutral,No,NULL,Never,Female,18-21,Single,Pre-Engineering,Électronique ,Tunisia,Sousse,Public,7,
